[2025-08-12 15:16:04] [INFO] Occupancy fetched: room=fg#13, count=0
[2025-08-12 15:32:43] [INFO] Occupancy fetched: room=fg#06, count=0
[2025-08-12 15:33:19] [INFO] Occupancy fetched: room=fg#06, count=1
[2025-08-12 15:40:32] [INFO] Occupancy fetched: room=fg#08, count=0
[2025-08-12 17:35:58] [INFO] Occupancy fetched: room=fg#02, count=0
[2025-08-12 17:36:02] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-08-12 17:36:58] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-08-12 18:37:11] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-13 14:59:58] [INFO] Occupancy fetched: room=fg#06, count=1
[2025-08-13 15:00:04] [INFO] Occupancy fetched: room=fg#06, count=1
[2025-08-13 15:08:32] [INFO] Occupancy fetched: room=fg#06, count=2
[2025-08-13 15:14:30] [INFO] Occupancy fetched: room=fg#13, count=0
[2025-08-13 15:21:14] [INFO] Occupancy fetched: room=fg#08, count=1
[2025-08-13 15:25:14] [INFO] Occupancy fetched: room=fg#13, count=1
[2025-08-13 15:30:09] [INFO] Occupancy fetched: room=fg#05, count=1
[2025-08-13 15:39:30] [INFO] Occupancy fetched: room=fg#06, count=1
[2025-08-13 15:40:52] [INFO] Occupancy fetched: room=fg#08, count=0
[2025-08-13 15:40:59] [INFO] Occupancy fetched: room=fg#02, count=1
[2025-08-13 15:41:31] [INFO] Occupancy fetched: room=fg#02, count=2
[2025-08-13 15:43:41] [INFO] Occupancy fetched: room=fg#08, count=0
[2025-08-13 16:18:30] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-13 16:27:19] [INFO] Occupancy fetched: room=fg#04, count=0
[2025-08-13 16:32:32] [INFO] Occupancy fetched: room=fg#05, count=1
[2025-08-13 16:51:15] [INFO] Occupancy fetched: room=fg#01, count=0
[2025-08-13 17:46:20] [INFO] Occupancy fetched: room=fg#01, count=1
[2025-08-13 18:57:10] [INFO] Occupancy fetched: room=fg#03, count=0
[2025-08-14 05:19:03] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 07:06:52] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 07:13:46] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 07:20:43] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 07:28:32] [INFO] Occupancy fetched: room=fg#13, count=1
[2025-08-14 07:28:38] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 07:30:52] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 07:44:55] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 07:55:10] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 10:19:59] [INFO] Occupancy fetched: room=fg#12, count=0
[2025-08-14 10:21:45] [INFO] Occupancy fetched: room=fg#10, count=0
[2025-08-14 10:30:11] [INFO] Occupancy fetched: room=fg#10, count=0
